time	encoder_in	clr
100 ns	1	1
150 ns	0	1
200 ns	1	0
250 ns	0	0
300 ns	1	0
350 ns	0	0
400 ns	1	0
450 ns	0	0
500 ns	1	0
550 ns	0	0
600 ns	1	0
650 ns	0	0
700 ns	1	0
750 ns	0	0
800 ns	1	0
850 ns	0	0
900 ns	1	1
950 ns	0	0
1000 ns	1	0
1050 ns	0	0
1100 ns	1	0
1150 ns	0	0
1200 ns	1	0
1250 ns	0	0
1300 ns	1	0
1350 ns	0	1
1400 ns	1	0
1450 ns	0	0
1500 ns	0	0
1550 ns	0	0
1600 ns	0	0
1650 ns	0	0
1700 ns	1	0
1750 ns	0	0
1800 ns	1	0
1850 ns	0	0
1900 ns	1	0
1950 ns	0	0
2000 ns	0	0
2050 ns	0	0
2100 ns	0	0
2150 ns	0	0
2200 ns	0	0
2250 ns	0	0
